,Item,Old Price,Sale Price,Store
253,"Nioxin Shampoo, Conditioner, and Treatment Set (3-Piece)",$45,$21.99,groupon.com
254,"Nioxin Shampoo, Conditioner, and Treatment Set (3-Piece)",$45,$21.99,groupon.com
255,Barzel Tri-Tone Bumble Bee Stud Earrings Made with Swarovski Elements,$59,$9.99,groupon.com
256,Barzel Tri-Tone Bumble Bee Stud Earrings Made with Swarovski Elements,$59,$9.99,groupon.com
257,CBD-Infused Gummies 2000MG with Free 250MG Pack from Kangaroo CBD,$129.99,$43.99,groupon.com
258,CBD-Infused Gummies 2000MG with Free 250MG Pack from Kangaroo CBD,$129.99,$43.99,groupon.com
259,6/10/12/20/24 Slots Watch Box Display Case Organizer Jewelry Storage,$22,$13.99,groupon.com
260,6/10/12/20/24 Slots Watch Box Display Case Organizer Jewelry Storage,$22,$13.99,groupon.com
261,"Holiday Rainbow CBD Gummy Rings (300mg, 900mg or 2400mg)",$24.99,$9.99,groupon.com
262,"Holiday Rainbow CBD Gummy Rings (300mg, 900mg or 2400mg)",$24.99,$9.99,groupon.com
263,Men's Awesome Football Helmet Long Sleeve Shirts (S-2XL),$59.99,$16.99,groupon.com
264,Men's Awesome Football Helmet Long Sleeve Shirts (S-2XL),$59.99,$16.99,groupon.com
265,CBD Pain Relief Cream from Kangaroo CBD (300mg-1200mg),$39.99,$12.99,groupon.com
266,CBD Pain Relief Cream from Kangaroo CBD (300mg-1200mg),$39.99,$12.99,groupon.com
267,Oversized Memory Foam Bath Rug,$58.99,$24.99,groupon.com
268,Oversized Memory Foam Bath Rug,$58.99,$24.99,groupon.com
269,"Sterling Silver Trio Blue, White, and Pink Opal Earring Set (3-Pair)",$190,$12.99,groupon.com
270,"Sterling Silver Trio Blue, White, and Pink Opal Earring Set (3-Pair)",$190,$12.99,groupon.com
271,"100% Pure Therapeutic-Grade Essential Oils (4-, 8-, or 14-Pack)",$59.99,$8.99,groupon.com
272,"100% Pure Therapeutic-Grade Essential Oils (4-, 8-, or 14-Pack)",$59.99,$8.99,groupon.com
273,Leo Rosi Women's Pocket Top. Plus Sizes Available,$59,$16.99,groupon.com
274,Leo Rosi Women's Pocket Top. Plus Sizes Available,$59,$16.99,groupon.com
275,Professional 3D Teeth Whitening Strips (28-Count),$49.99,$9.99,groupon.com
276,Professional 3D Teeth Whitening Strips (28-Count),$49.99,$9.99,groupon.com
277,XTF Breast Cancer Awareness Knee-High Compression Socks (3 or 6 Pairs),$39.99,$15.99,groupon.com
278,XTF Breast Cancer Awareness Knee-High Compression Socks (3 or 6 Pairs),$39.99,$15.99,groupon.com
279,Harrison Men's Classic Scott Chelsea Boots,$79.99,$29.99,groupon.com
280,Harrison Men's Classic Scott Chelsea Boots,$79.99,$29.99,groupon.com
281,Barbados Men's Solid Buckle Leather Belt with Automatic Ratchet,$24.99,$16.99,groupon.com
282,Barbados Men's Solid Buckle Leather Belt with Automatic Ratchet,$24.99,$16.99,groupon.com
283,"Christmas Tree, Wreath, & Holiday Decor Storage Bags",$24.99,$14.99,groupon.com
284,"Christmas Tree, Wreath, & Holiday Decor Storage Bags",$24.99,$14.99,groupon.com
285,14K Genuine White Gold Princess 3Ct White Sapphire VS1 Stud Earrings,$110,$17,groupon.com
286,14K Genuine White Gold Princess 3Ct White Sapphire VS1 Stud Earrings,$110,$17,groupon.com
287,PharMeDoc Orthopedic Coccyx Seat Cushion,$44.99,$21.99,groupon.com
